pkg_idx,verId:START_ID(Version),pkgId:END_ID(Package),source_name,target_name,source_version,target_version,kind,os_platform
1,80,101,ada_fuse,libfuse,1.0.0,^2.0.0,BUILD,
6,81,194,ada_voxel_space_demo,sdlada,1.0.0,^2.3.1,BUILD,
6,82,194,ada_voxel_space_demo,sdlada,1.0.1,^2.3.1,BUILD,
3,83,113,ada_lua,liblua,0.1.0,~5.3,BUILD,
8,84,205,adayaml,simple_components,0.3.0,^4.27,BUILD,
12,86,10,ado_sqlite,ado,2.0.0,^2.0.0,BUILD,
9,90,81,adl_middleware,hal,0.1.0,^0.1.0,BUILD,
79,91,135,gtkada,make,21.0.0,*,BUILD,
79,91,176,gtkada,pkg_config,21.0.0,*,BUILD,
79,91,109,gtkada,libgtk3,21.0.0,^3,BUILD,
79,91,238,gtkada,winpthreads,21.0.0,*,BUILD,windows
34,92,23,bbqueue,atomic,0.3.0,~0.4,BUILD,
34,93,23,bbqueue,atomic,0.1.0,*,BUILD,
34,94,23,bbqueue,atomic,0.2.0,~0.3,BUILD,
16,95,240,ajunitgen,xml_ez_out,1.0.0,^1.6,BUILD,
16,96,240,ajunitgen,xml_ez_out,1.0.1,^1.6,BUILD,
141,97,142,matreshka_amf_ocl,matreshka_amf_uml,18.1.0,18.1.0,BUILD,
141,97,145,matreshka_amf_ocl,matreshka_league,18.1.0,18.1.0,BUILD,
141,98,142,matreshka_amf_ocl,matreshka_amf_uml,20.1.0,20.1.0,BUILD,
141,98,145,matreshka_amf_ocl,matreshka_league,20.1.0,20.1.0,BUILD,
141,99,142,matreshka_amf_ocl,matreshka_amf_uml,21.0.0,21.0.0,BUILD,
141,99,145,matreshka_amf_ocl,matreshka_league,21.0.0,21.0.0,BUILD,
143,101,142,matreshka_amf_utp,matreshka_amf_uml,20.1.0,20.1.0,BUILD,
143,101,145,matreshka_amf_utp,matreshka_league,20.1.0,20.1.0,BUILD,
143,102,142,matreshka_amf_utp,matreshka_amf_uml,18.1.0,18.1.0,BUILD,
