pkgId:ID(Package),name,pkgman
0,aaa,Alire
1,ada_fuse,Alire
2,ada_language_server,Alire
3,ada_lua,Alire
4,ada_pretty,Alire
5,ada_toml,Alire
6,ada_voxel_space_demo,Alire
7,adabots,Alire
8,adayaml,Alire
9,adl_middleware,Alire
10,ado,Alire
11,ado_postgresql,Alire
12,ado_sqlite,Alire
13,aflex,Alire
14,agpl,Alire
15,aicwl,Alire
16,ajunitgen,Alire
17,anagram,Alire
18,ansiada,Alire
19,apdf,Alire
20,are,Alire
21,asfml,Alire
22,asis,Alire
23,atomic,Alire
24,audio_base,Alire
25,audio_wavefiles,Alire
26,aunit,Alire
27,avltrees,Alire
28,aws,Alire
29,axmpp,Alire
30,ayacc,Alire
31,b2ssum,Alire
32,bar_codes,Alire
33,basalt,Alire
34,bbqueue,Alire
35,blake2s,Alire
36,c_strings,Alire
37,canberra_ada,Alire
38,clic,Alire
39,cmd_ada,Alire
40,cortex_m,Alire
41,curl,Alire
42,dcf,Alire
43,dir_iterators,Alire
44,dotenv,Alire
45,eagle_lander,Alire
46,elada,Alire
47,embedded_components,Alire
48,emojis,Alire
49,evdev,Alire
50,excel_writer,Alire
51,felix,Alire
52,florist,Alire
53,freetypeada,Alire
54,geste,Alire
55,geste_examples,Alire
56,get_password,Alire
57,gid,Alire
58,glut,Alire
59,gnat_arm_elf,Alire
60,gnat_external,Alire
61,gnat_native,Alire
62,gnat_riscv64_elf,Alire
63,gnatcoll,Alire
64,gnatcoll_gmp,Alire
65,gnatcoll_iconv,Alire
66,gnatcoll_lzma,Alire
67,gnatcoll_omp,Alire
68,gnatcoll_postgres,Alire
69,gnatcoll_python,Alire
70,gnatcoll_python3,Alire
71,gnatcoll_readline,Alire
72,gnatcoll_sql,Alire
73,gnatcoll_sqlite,Alire
74,gnatcoll_syslog,Alire
75,gnatcoll_xref,Alire
76,gnatcoll_zlib,Alire
77,gnatcov,Alire
78,gprbuild,Alire
79,gtkada,Alire
80,gwindows,Alire
81,hal,Alire
82,hangman,Alire
83,hello,Alire
84,hungarian,Alire
85,inotify,Alire
86,iterators,Alire
87,json,Alire
88,jupyter_kernel,Alire
89,jwt,Alire
90,keystoreada,Alire
91,lal_highlight,Alire
92,langkit_support,Alire
93,libadalang,Alire
94,libadalang_tools,Alire
95,libcanberra,Alire
96,libclntsh,Alire
97,libcsfml,Alire
98,libfbclient,Alire
99,libfreetype,Alire
100,libftdi1,Alire
101,libfuse,Alire
102,libglfw3,Alire
103,libgmp,Alire
104,libgnutls,Alire
